"DATA","Barri","Districte","F1","F2","RENDA","Q1","EDAT","ID4","ID5","ID7","ID9_rec","P1","P1A","Q1A","P1B","P2_1","P2_2","P2_3","P2_4","P2_6","P2_7","P2_5","P2_5B","P2_LLAR","P2","P2A","P2B","P3_0","P3_1","P3_2","P3_3","P3_95","P3_98","P3_99","P4","P5A_1","P5A_2","P5A_3","P5A_4","P5A_5","P5A_6","P5A_7","P5A_8","P5A_9","P5A_10","P5A_11","P5A_12","P5A_13","P5A_14","P5A_15","P5A_16","P5A_17","P5A_18","P5A_18_cod","P5A_19","P5A_20","P5A_1rec","P5A_2rec","P5A_3rec","P5A_4rec","P5A_5rec","P5A_6rec","P5A_7rec","P5A_8rec","P5A_9rec","P5A_10rec","P5A_11rec","P5A_12rec","P5A_13rec","P5A_14rec","P5A_15rec","P5A_16rec","P5A_17rec","P5A_18rec","P5A_19rec","P5A_20rec","P6","P7","P8","P8B","P9","P9B","P10","P10B_1","P10B_2","P10B_3","P10B_4","P10B_5","P10B_6","P10B_95","P10B_98","P10B_99","P11_0","P11_1","P11_2","P11_3","P11_4","P11_5","P11_98","P11_99","P11B","P11C_1","P11C_2","P11C_3","P11C_4","P11C_5","P11C_6","P11C_95","P11C_98","P11C_99","P12","Q12","P13","P13B_1","P13B_2","P13B_3","P13B_4","P13B_5","P13B_98","P13B_99","ID10","ID11","P14","P14_1cod","P14_2cod","Pes"
2020-10-28,9,2,1,1,3,1,4,1,1,5,2,1,4,10,,4,0,3,2,0,1,0,,9,1,1,,,1,2,,,,,1,1,1,1,1,3,5,1,1,1,2,1,1,1,5,4,3,5,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,0,,2,4,2,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,1,,2,3,4,,,,5,2,,,,0.9237804
2020-10-28,59,9,1,1,1,1,4,1,1,5,2,1,2,10,,2,1,1,1,0,0,0,,5,1,1,,,1,,,,,,1,4,1,4,1,5,5,1,1,5,4,1,5,5,5,4,4,5,4,1,1,3,1,1,1,1,2,2,1,1,2,1,1,2,2,2,1,1,2,1,1,1,1,0,,2,5,,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,2,8,2,,,,,,,,2,2,,,,0.5916313
2020-10-28,26,5,1,1,5,2,2,3,2,3,2,1,98,10,,2,0,1,0,0,1,0,,3,1,2,2,,1,,,,,,3,4,1,1,1,3,1,5,5,5,5,5,5,5,5,4,5,5,5,,5,3,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,0,,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,3,,,,,,,,1,2,,,,0.7235718
2020-10-28,73,10,1,1,2,1,1,1,5,4,2,1,2,7,,4,0,3,1,0,0,1,2,8,1,1,,,1,,,,,,1,2,1,5,1,5,4,1,2,2,3,2,5,5,5,4,4,5,5,,2,1,1,1,2,1,2,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,2,0,,3,,,,,,,,,,,,,,1,,,,,,,2,,,,,,6,,,,1,,3,,,,,,,,3,2,,,,1.852006
2020-10-29,50,8,1,1,1,2,2,1,1,3,2,1,2,8,,2,0,2,0,0,0,0,,4,1,1,,,1,,,,,,1,1,1,2,1,4,2,1,2,1,4,5,2,4,5,5,4,5,5,,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,2,1,1,1,0,,2,5,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,6,2,,,,,,,,2,2,,,,0.6941867
2020-10-28,28,6,1,2,3,1,2,1,2,1,2,1,2,7,,1,0,1,0,0,0,0,,2,1,2,1,,1,,,,,,1,2,1,1,1,5,5,5,4,2,5,2,1,5,1,5,4,5,1,2,5,1,1,1,1,1,2,2,2,1,1,2,1,1,2,1,2,1,2,1,2,1,2,5,4,,,,,,,,,,,,,,,,,,4,,,,1,,,,,,,,,,2,5,2,,,,,,,,3,2,,,,0.9521993
2020-10-28,10,2,1,1,3,1,2,1,5,2,2,1,2,9,,4,1,4,2,1,1,1,1,11,1,1,,,1,2,,,,,1,1,1,2,1,1,3,1,3,2,2,2,2,4,3,3,4,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,5,7,,,,,,,,,,,,,,,1,,3,,,,,1,,,,,,,,,,1,,2,,,,,,,,5,2,,,,0.9521993
2020-10-28,1,1,1,1,2,1,2,3,1,4,1,1,2,5,,2,0,0,1,0,0,0,,3,1,1,,,1,,,,,,1,1,1,1,5,5,5,1,2,4,5,5,5,5,1,3,3,5,5,,5,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,1,1,0,,2,5,,2,,,,,,6,,,,0,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,5,2,,,,1.8377242
2020-10-29,10,2,1,1,3,2,4,3,1,6,1,1,2,10,,5,0,1,1,0,0,0,,7,1,1,,,1,,,,,,1,1,1,1,1,5,5,1,4,2,2,1,4,5,2,5,2,4,5,,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,2,1,1,2,1,1,3,0,,2,5,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,1,,2,,,,,,5,2,,,,0.8630541
2020-10-28,68,10,1,2,4,2,1,1,5,3,2,1,2,10,,2,0,2,0,1,1,0,,4,1,1,,,,,3,,,,1,1,1,2,1,5,5,1,3,3,3,2,1,5,3,3,3,5,5,,3,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,0,,2,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,3,,,,,,,,3,2,,,,0.8180242
2020-10-28,22,5,1,1,5,2,3,1,1,4,1,1,1,8,,1,1,2,0,0,0,0,,4,1,1,,,1,2,,,,,1,1,1,2,5,5,5,1,4,4,5,2,5,5,5,3,4,5,5,,2,4,1,1,1,2,2,2,1,1,1,2,1,2,2,2,1,1,2,2,1,1,1,2,8,,4,2,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,5,2,,,,0.6917374
2020-10-28,52,8,1,1,1,1,5,1,1,1,2,1,2,6,,1,1,1,1,0,2,0,,4,1,1,,,1,,,,,,1,4,1,5,1,5,5,1,4,5,5,3,5,5,4,5,5,5,5,,5,1,1,1,2,1,2,2,1,1,2,2,1,2,2,1,2,2,2,2,2,1,1,0,,2,5,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,6,3,,,,,,,,3,1,1,2,,0.6081388
2020-10-28,25,5,1,1,5,1,3,1,1,3,2,1,2,8,,2,2,1,2,0,0,0,,7,1,1,,,1,2,,,,,1,1,1,1,5,5,1,1,5,5,3,99,99,99,5,4,4,5,5,,2,1,1,1,1,2,2,1,1,2,2,1,99,99,99,2,1,1,2,2,1,1,1,0,,2,1,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,3,,,,,,,,5,2,,,,0.7929691
2020-10-28,27,5,1,1,5,2,5,1,1,6,2,1,2,8,,3,1,1,2,0,0,0,,7,1,1,,,1,2,,,,,1,1,1,1,3,5,5,1,4,2,4,3,1,5,5,4,4,5,5,,5,2,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,2,2,2,1,1,0,,2,5,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,9,2,,,,,,,,5,2,,,,0.5724587
2020-10-28,2,1,1,1,3,2,3,3,1,1,2,1,2,9,,1,0,1,0,0,0,0,,2,1,1,,,1,2,,,,,1,1,1,1,1,5,5,1,1,4,4,1,1,4,5,3,3,2,2,2,5,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,5,7,,3,0,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,2,10,2,,,,,,,,5,2,,,,0.9271298
2020-10-28,52,8,1,1,1,2,3,3,2,5,1,1,2,8,,1,1,2,0,0,0,0,,4,1,1,,,1,,,,,,1,1,1,2,5,5,5,1,1,3,5,3,5,5,1,3,3,5,5,,5,5,1,1,1,2,2,2,1,1,1,2,1,2,2,1,1,1,2,2,2,2,1,0,,3,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,10,3,,,,,,,,5,2,,,,0.615454
2020-10-28,19,4,1,1,4,2,2,1,2,6,1,1,2,8,,2,0,0,1,0,0,0,,3,1,1,,,1,,,,,,1,1,1,1,1,5,5,1,4,4,4,3,5,5,3,4,4,5,5,,5,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,0,,3,,,2,,,,,,6,,,,0,,,,,,,,,,,,,,,,,,2,7,3,,,,,,,,5,2,,,,0.7420531
2020-10-28,8,2,1,1,4,2,3,3,2,4,1,1,2,10,,3,1,1,0,0,2,0,,5,1,1,,,1,,,,,,1,1,1,1,1,5,5,1,4,4,3,2,5,5,5,5,4,99,5,,5,1,1,1,1,1,2,2,1,1,1,1,1,2,2,2,2,1,99,2,2,1,1,0,,3,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,3,,,,,,,,5,2,,,,0.7542067
2020-10-28,73,10,1,1,2,1,4,1,1,5,2,1,2,9,,1,0,1,0,0,1,0,,2,1,1,,,1,,,,,,1,2,1,1,1,2,3,1,4,3,4,1,5,5,5,3,4,5,5,,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,1,6,5,,5,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,8,2,,,,,,,,4,2,,,,1.8575541
2020-10-28,52,8,1,1,1,2,3,1,1,6,1,1,2,9,,1,0,1,0,0,1,0,,2,1,1,,,1,2,,,,,1,1,1,3,1,4,5,1,2,3,3,3,4,5,4,3,4,5,4,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,4,5,,1,2,2,,,,,,,95,,,,,,3,4,,,,1,,,,,,,,,,2,7,3,,,,,,,,5,2,,,,0.615454
2020-10-28,25,5,1,1,5,2,1,1,1,4,2,1,2,8,,3,0,2,0,0,0,0,,5,1,1,,,1,,,,,,1,1,1,2,2,5,5,2,2,3,5,2,3,5,1,5,2,5,1,2,3,1,1,1,1,1,2,2,1,1,1,2,1,1,2,1,2,1,2,1,1,1,1,5,98,,5,,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,1,,2,,,,,,,,5,2,,,,1.0313347
2020-10-28,7,2,1,1,5,2,2,1,1,1,2,1,1,8,,0,0,1,0,0,0,0,,1,2,,,,1,2,,,,,1,1,5,4,5,5,5,4,4,4,5,3,5,5,5,4,4,5,5,,5,1,1,2,1,2,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,0,,3,2,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,10,3,,,,,,,,5,2,,,,0.7235718
2020-10-28,46,8,1,1,1,2,1,1,1,4,2,2,,,4,3,0,0,0,0,0,0,,3,1,1,,,1,,,,,,1,2,1,2,1,3,5,2,2,5,3,2,5,5,3,3,1,5,5,,5,2,1,1,1,1,1,2,1,1,2,1,1,2,2,1,1,1,2,2,2,1,1,4,7,,5,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,2,8,3,,,,,,,,4,2,,,,0.7339183
2020-10-28,59,9,1,1,1,2,3,1,3,4,1,1,4,8,,3,1,0,0,1,1,0,,4,1,1,,,1,,,,,,1,1,1,2,1,5,5,1,2,2,3,1,3,5,5,2,3,5,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,0,,2,,,2,1,2,,4,,,,,,0,,,,,,,,,,,,,,,,,,2,10,2,,,,,,,,99,2,,,,0.615454
2020-10-28,20,4,1,1,4,2,3,1,1,4,1,1,2,10,,4,3,4,1,0,0,1,2,12,1,1,,,1,2,,,,,1,1,1,1,1,5,5,1,4,2,2,2,1,2,5,3,4,4,2,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,,2,4,2,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,3,,,,,,,,5,2,,,,0.7542067
2020-10-28,63,9,1,1,2,2,2,1,1,4,2,1,1,8,,4,1,2,1,1,1,0,,8,1,1,,,1,2,,,,,1,1,1,3,1,5,5,1,1,3,3,2,4,5,3,3,3,5,5,,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,3,5,,5,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,8,2,,,,,,,,5,2,,,,2.0621535
2020-10-28,27,5,1,1,5,2,2,1,1,3,2,1,2,7,,4,1,3,0,0,1,1,1,8,1,1,,,1,2,,,,,1,1,1,2,1,4,1,1,1,3,3,2,4,4,1,2,5,5,4,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,4,4,,3,2,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,2,7,1,1,,,,5,,,5,2,,,,0.7235718
2020-10-28,7,2,1,1,5,1,2,1,1,2,2,1,2,8,,2,1,2,0,0,0,0,,5,1,1,,,1,,,,,,1,1,1,3,1,3,1,1,2,3,4,2,2,5,5,5,4,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,2,0,,2,3,2,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,2,7,2,,,,,,,,5,2,,,,0.8150679
2020-10-28,4,1,1,1,3,1,4,1,2,3,2,1,2,6,,2,1,2,1,0,1,0,,6,1,1,,,1,2,,,,,1,1,1,2,1,2,5,2,3,3,4,2,4,3,5,4,4,5,5,,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,0,,1,,,,,,,,,,,,,,1,2,,,,,,1,,,,,,,,,,2,8,1,1,,,4,5,,,5,2,,,,0.9237804
2020-10-28,22,5,1,1,5,1,4,1,1,4,2,1,2,7,,4,1,3,2,0,1,0,,10,1,1,,,1,2,,,,,1,1,1,1,1,5,5,1,2,2,2,1,5,4,5,4,1,5,2,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,0,,1,5,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,9,3,,,,,,,,5,2,,,,0.7253574
2020-11-02,8,2,1,1,4,1,4,1,2,1,2,1,1,5,,0,0,1,0,0,0,0,,1,2,,,,1,,,,,,1,2,1,5,1,3,5,5,5,5,2,5,5,5,5,5,5,5,2,1,5,2,1,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,1,0,,2,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,4,2,,,,0.6702828
2020-10-28,57,9,1,1,1,2,2,2,1,4,2,1,2,8,,5,1,2,0,1,1,0,,8,1,1,,,,2,,,,,1,2,1,3,1,5,5,2,3,2,4,2,3,5,2,5,5,5,5,,4,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,2,2,2,2,1,1,1,4,5,,2,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,4,2,,,,0.6941867
2020-10-28,21,4,1,1,5,1,4,1,1,2,2,1,2,8,,7,4,5,2,0,0,0,,18,1,1,,,1,2,,,,,1,1,1,1,4,5,2,1,4,4,1,1,4,4,4,5,1,5,5,,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,0,,2,1,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,7,3,,,,,,,,5,2,,,,0.7253574
2020-10-28,6,2,1,1,3,2,1,1,5,4,2,1,2,8,,3,1,3,0,0,1,0,,7,1,1,,,1,,,,,,1,1,1,2,1,2,5,1,3,3,3,2,1,5,5,3,5,4,4,98,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,0,,3,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,2,9,2,,,,,,,,3,2,,,,1.0476638
2020-10-28,17,3,1,1,2,2,2,3,5,1,2,1,2,7,,1,1,1,0,0,0,0,,3,1,1,,,1,,,,,,1,1,1,1,1,4,2,2,4,4,4,1,1,5,1,3,4,4,5,,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,0,,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,8,3,,,,,,,,5,2,,,,2.0621535
2020-10-28,13,3,1,1,2,1,3,1,1,3,2,1,2,8,,2,1,0,1,0,0,0,,4,1,1,,,1,,,,,,1,1,1,4,1,5,4,5,2,2,1,2,4,4,4,2,1,5,5,,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,2,0,,4,2,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,8,3,,,,,,,,5,2,,,,1.8220922
2020-10-28,7,2,1,1,5,1,3,1,1,4,1,1,2,8,,5,4,5,0,0,2,0,,14,1,1,,,1,2,,,,,1,1,1,3,2,4,5,1,1,3,2,2,4,4,5,4,1,5,5,,1,5,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,2,1,2,1,6,8,,4,0,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,9,3,,,,,,,,5,2,,,,0.7929691
2020-10-28,44,8,1,1,1,1,3,1,1,1,2,1,2,10,,2,1,1,0,0,1,0,,4,1,1,,,1,2,,,,,1,1,1,2,1,5,5,1,1,4,3,2,4,4,4,4,4,5,5,,1,3,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,6,5,,4,2,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,8,3,,,,,,,,5,2,,,,0.6567765
2020-10-28,53,8,1,1,1,2,1,1,5,6,1,1,2,8,,7,5,3,1,2,2,0,,16,1,1,,,1,,,,,,1,1,1,1,1,2,3,1,2,1,2,2,4,4,3,3,4,5,5,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,5,8,,,,2,,,,4,,,,,,,1,,,,,,,1,,,,,,,,,,2,7,3,,,,,,,,4,2,,,,0.7339183
2020-10-30,35,7,1,1,2,2,4,1,1,2,2,2,,,95,4,1,2,1,0,0,0,,8,1,1,,,1,,,,,,1,1,1,5,5,5,5,4,1,4,4,2,4,4,4,4,1,5,5,,1,4,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,0,,2,5,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,3,,,,,,,,3,2,,,,1.6428027
2020-10-30,57,9,1,1,1,2,2,3,1,2,1,1,1,2,,9,1,2,2,0,0,0,,14,1,1,,,1,,,,,,1,1,1,1,1,4,5,1,3,2,3,2,5,5,5,3,4,5,2,2,1,2,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,2,1,1,1,2,0,,4,1,2,2,,,,,,,95,,,0,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,5,2,,,,0.6941867
2020-10-30,26,5,1,1,5,2,3,3,1,4,1,1,1,9,,2,2,2,1,0,0,0,,7,1,1,,,1,2,,,,,1,1,1,2,1,5,5,1,1,1,2,1,5,1,1,2,4,5,4,2,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,4,5,,3,2,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,9,2,,,,,,,,5,2,,,,0.6917374
2020-10-30,68,10,1,1,4,1,4,1,1,4,1,1,2,8,,4,2,1,1,1,1,0,,8,1,1,,,1,2,,,,,1,1,1,2,1,5,5,1,2,5,3,2,5,5,5,3,2,3,5,,2,5,1,1,1,1,2,2,1,1,2,1,1,2,2,2,1,1,1,2,1,2,2,0,,1,5,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,4,3,,,,,,,,5,2,,,,0.6702828
2020-10-28,67,10,1,1,4,1,3,1,1,4,1,1,2,9,,3,2,2,0,0,0,0,,7,1,1,,,1,2,,,,,1,1,1,2,5,5,5,1,3,3,2,2,1,5,5,4,4,3,4,2,1,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,5,8,,5,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,3,,,,,,,,5,2,,,,0.7611004
2020-10-28,6,2,1,1,3,1,4,1,1,3,2,1,2,8,,2,0,2,0,0,1,0,,4,1,1,,,1,2,,,,,1,1,1,1,1,3,5,1,4,3,2,2,5,5,5,3,4,5,5,,2,2,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,2,2,1,1,1,0,,2,3,2,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,2,8,3,,,,,,,,5,2,,,,0.9237804
2020-10-28,19,4,1,1,4,1,2,1,1,3,2,1,2,9,,2,0,2,0,0,0,0,,4,1,1,,,1,2,,,,,1,1,1,1,5,5,5,2,5,2,4,1,4,5,1,3,5,4,5,,1,3,1,1,1,2,2,2,1,2,1,1,1,1,2,1,1,2,1,2,1,1,2,6,1,,5,,,,,,,,,,,,,,,,4,,,,1,,,,,,,,,,0,,3,,,,,,,,5,2,,,,0.6963773
2020-10-28,50,8,1,1,1,1,3,1,1,3,2,1,2,8,,3,0,1,1,0,2,0,,5,1,1,,,1,2,,,,,1,1,1,4,2,4,5,1,3,4,2,1,5,5,5,5,4,5,1,2,4,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,1,2,1,1,1,1,6,5,,5,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,2,,,,,,,,4,2,,,,0.6567765
2020-10-28,10,2,1,1,3,1,4,1,1,4,1,1,2,7,,2,1,2,1,0,1,0,,6,1,1,,,1,2,,,,,1,1,1,2,4,4,3,2,3,5,5,2,5,5,5,4,3,5,2,1,1,5,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,2,1,1,2,1,0,,2,2,1,2,,,,,5,,,,,0,,,,,,,,,,,,,,,,,,2,7,1,,2,3,,,,,5,2,,,,0.9237804
2020-10-28,1,1,1,1,2,1,2,3,1,1,2,1,2,10,,1,0,1,0,1,1,0,,2,1,1,,,1,2,,,,,1,1,1,1,1,5,5,5,5,3,3,2,3,4,5,5,4,5,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,1,2,1,1,1,1,0,,1,4,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,5,2,,,,1.8377242
2020-10-28,27,5,1,1,5,2,3,1,1,4,2,1,2,1,,3,1,3,2,0,0,0,,9,1,1,,,1,2,,,,,1,1,1,2,1,5,5,1,1,1,5,1,5,5,5,5,1,5,5,,5,3,1,1,1,1,2,2,1,1,1,2,1,2,2,2,2,1,2,2,2,1,1,0,,1,2,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,6,3,,,,,,,,5,2,,,,0.6917374
2020-10-28,4,1,1,2,3,2,2,2,1,3,2,1,1,7,,2,1,2,0,0,0,0,,5,1,1,,,1,,,,,,1,1,1,1,1,2,5,5,3,4,4,1,4,4,1,5,5,5,2,2,5,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,1,2,1,1,0,,3,5,,,,,,,,,,,,,,,,,5,,,1,,,,,,,,,,0,,3,,,,,,,,5,2,,,,0.989123
2020-10-28,20,4,1,1,4,2,3,1,1,1,2,1,2,10,,1,0,1,0,0,0,0,,2,1,1,,,1,2,,,,,1,1,1,3,4,5,5,1,3,1,4,2,4,4,5,3,3,5,5,,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,0,,1,2,2,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,8,3,,,,,,,,5,2,,,,0.7542067
2020-10-28,19,4,1,1,4,1,1,1,1,4,2,1,2,8,,3,1,2,0,0,1,1,1,6,1,1,,,1,,,,,,1,1,1,2,1,2,2,1,4,3,2,2,2,5,3,3,3,5,5,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,4,6,,4,2,,,,,,,,,,,,,,,,5,,,1,,,,,,,,,,2,7,3,,,,,,,,5,2,,,,0.7218843
2020-10-28,45,8,1,2,1,1,7,1,3,1,2,1,2,10,,1,1,1,0,0,1,0,,3,1,1,,,1,,,,,,1,3,1,5,1,4,5,1,5,5,5,5,5,5,5,4,4,5,5,,5,1,1,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,2,2,2,1,2,0,,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,98,3,,,,,,,,5,2,,,,0.6435624
2020-10-29,8,2,1,1,4,2,4,1,1,4,1,1,2,8,,4,1,1,1,0,0,0,,7,1,2,2,,1,,,,,,1,1,1,5,1,4,5,1,3,3,4,2,5,5,5,3,5,5,5,,5,3,1,1,2,1,1,2,1,1,1,1,1,2,2,2,1,2,2,2,2,1,1,4,8,,5,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,9,2,,,,,,,,5,2,,,,0.7306445
2020-10-28,24,5,1,1,5,2,2,3,1,1,2,1,2,8,,1,0,0,0,0,0,0,,1,1,1,,,1,,,,,,1,1,1,5,1,5,5,2,5,2,5,5,5,5,5,5,5,5,5,,5,1,1,1,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1,5,10,,5,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,10,2,,,,,,,,4,2,,,,0.7235718
2020-10-28,2,1,1,1,3,1,2,1,1,3,2,1,2,9,,2,1,0,1,0,1,0,,4,1,1,,,1,2,,,,,1,1,1,3,1,5,5,1,1,3,2,2,5,4,5,4,4,5,5,,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,2,1,1,2,2,1,1,1,0,,2,2,2,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,9,2,,,,,,,,5,2,,,,0.9521993
2020-10-28,7,2,1,1,5,2,2,3,1,2,2,1,2,8,,2,1,1,0,0,0,0,,4,1,1,,,1,,,,,,1,2,1,5,1,5,5,1,2,3,4,3,5,5,4,4,4,5,5,,3,5,1,1,2,1,2,2,1,1,1,1,1,2,2,1,1,1,2,2,1,2,2,0,,1,5,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,2,,,,,,,,4,2,,,,0.7235718
2020-10-28,52,8,1,1,1,1,7,1,3,3,2,1,1,7,,2,0,1,0,0,0,0,,3,1,1,,,1,,,,,,1,4,1,5,2,5,5,2,5,1,5,2,5,5,5,4,5,5,5,,5,4,1,1,2,1,2,2,1,2,1,2,1,2,2,2,1,2,2,2,2,1,1,0,,2,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,5,3,,,,,,,,2,2,,,,0.6435624
2020-10-28,23,5,1,1,5,2,5,1,1,3,2,1,2,9,,2,2,1,1,0,0,0,,6,1,1,,,1,,,,,,1,1,1,1,2,1,1,1,2,4,4,5,4,4,5,5,4,5,5,,1,4,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,2,1,1,1,0,,1,1,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,8,3,,,,,,,,2,2,,,,0.5724587
2020-10-28,69,10,1,2,4,1,3,3,1,2,2,2,,,2,2,0,2,0,0,0,0,,4,1,1,,,1,2,,,,,1,1,1,1,1,4,5,1,2,2,2,2,1,5,2,5,3,5,5,,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,2,2,1,1,1,4,6,,3,2,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,0,,3,,,,,,,,5,2,,,,0.7611004
